"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","28.0","4","86","3","3.07","5","1","v Bangladesh","Khulna","28 Apr 2015"
"2","30.0","2","123","0","4.10","5","3","v Bangladesh","Khulna","28 Apr 2015"
"3","15.3","4","58","3","3.74","4","2","v Bangladesh","Dhaka","6 May 2015"
"4","21.0","3","73","4","3.47","3","4","v Bangladesh","Dhaka","6 May 2015"
"5","30.3","6","79","2","2.59","4","1","v Sri Lanka","Galle","17 Jun 2015"
"6","30.1","6","76","7","2.51","3","3","v Sri Lanka","Galle","17 Jun 2015"
"7","41.3","5","96","6","2.31","4","2","v Sri Lanka","Colombo (PSS)","25 Jun 2015"
"8","10.3","0","55","2","5.23","4","4","v Sri Lanka","Colombo (PSS)","25 Jun 2015"
"9","31.5","4","78","5","2.45","4","1","v Sri Lanka","Pallekele","3 Jul 2015"
"10","32.0","7","80","2","2.50","4","3","v Sri Lanka","Pallekele","3 Jul 2015"
"11","29.0","6","72","6","2.48","4","2","v England","Lord's","14 Jul 2016"
"12","31.0","9","69","4","2.22","3","4","v England","Lord's","14 Jul 2016"
"13","54.0","6","213","1","3.94","4","1","v England","Manchester","22 Jul 2016"
"14","9.0","0","53","0","5.88","3","3","v England","Manchester","22 Jul 2016"
"15","27.0","3","64","1","2.37","4","1","v England","Birmingham","3 Aug 2016"
"16","43.0","4","172","2","4.00","4","3","v England","Birmingham","3 Aug 2016"
"17","16.0","2","60","0","3.75","4","1","v England","The Oval","11 Aug 2016"
"18","29.0","4","71","5","2.44","4","3","v England","The Oval","11 Aug 2016"
"19","4.0","0","16","0","4.00","4","2","v New Zealand","Christchurch","17 Nov 2016"
"20","9.3","1","45","0","4.73","4","4","v New Zealand","Christchurch","17 Nov 2016"
"21","43.1","6","129","2","2.98","3","1","v Australia","Brisbane","15 Dec 2016"
"22","10.0","1","45","1","4.50","3","3","v Australia","Brisbane","15 Dec 2016"
"23","41.0","2","207","3","5.04","3","2","v Australia","Melbourne","26 Dec 2016"
"24","40.0","2","167","1","4.17","4","1","v Australia","Sydney","3 Jan 2017"
"25","14.0","0","124","1","8.85","2","3","v Australia","Sydney","3 Jan 2017"
"26","24.0","5","91","2","3.79","4","1","v West Indies","Kingston","21 Apr 2017"
"27","21.4","4","63","6","2.90","3","3","v West Indies","Kingston","21 Apr 2017"
"28","25.5","2","83","2","3.21","3","1","v West Indies","Bridgetown","30 Apr 2017"
"29","39.5","12","94","7","2.35","3","3","v West Indies","Bridgetown","30 Apr 2017"
"30","40.0","4","126","3","3.15","3","2","v West Indies","Roseau","10 May 2017"
"31","37.0","13","92","5","2.48","3","4","v West Indies","Roseau","10 May 2017"
"32","4.0","0","24","0","6.00","4","2","v South Africa","Centurion","26 Dec 2018"
"33","7.4","1","20","1","2.60","4","4","v South Africa","Centurion","26 Dec 2018"
"34","21.0","1","79","0","3.76","4","2","v South Africa","Cape Town","3 Jan 2019"
"35","DNB","-","-","-","-","-","4","v South Africa","Cape Town","3 Jan 2019"
"36","48.4","1","205","4","4.21","5","2","v Australia","Brisbane","21 Nov 2019"
"37","32.0","1","197","0","6.15","4","1","v Australia","Adelaide","29 Nov 2019"
"38","13.0","0","43","0","3.30","4","2","v Sri Lanka","Karachi","19 Dec 2019"
"39","20.0","3","84","2","4.20","4","4","v Sri Lanka","Karachi","19 Dec 2019"
"40","22.0","2","83","0","3.77","4","1","v Bangladesh","Rawalpindi","7 Feb 2020"
"41","17.2","3","58","4","3.34","4","3","v Bangladesh","Rawalpindi","7 Feb 2020"
"42","18.0","2","66","4","3.66","4","2","v England","Manchester","5 Aug 2020"
"43","30.0","2","99","4","3.30","4","4","v England","Manchester","5 Aug 2020"
"44","11.0","2","30","1","2.72","4","2","v England","Southampton","13 Aug 2020"
"45","39.0","3","173","2","4.43","3","1","v England","Southampton","21 Aug 2020"
"46","37.0","4","113","3","3.05","5","1","v New Zealand","Mount Maunganui","26 Dec 2020"
"47","6.0","0","21","0","3.50","5","3","v New Zealand","Mount Maunganui","26 Dec 2020"
"48","22.0","6","54","3","2.45","5","1","v South Africa","Karachi","26 Jan 2021"
"49","33.0","7","79","4","2.39","4","3","v South Africa","Karachi","26 Jan 2021"
"50","12.0","2","54","0","4.50","5","2","v South Africa","Rawalpindi","4 Feb 2021"
"51","23.4","5","56","1","2.36","4","4","v South Africa","Rawalpindi","4 Feb 2021"
