Episode,Title,yt_views,yt_url,fb_views,fb_url,insta_reach,insta_like,insta_imp,Update,tot_list,uniq_list,peak_list,avg_list_time
Episode 1,Pilot,75,https://www.youtube.com/watch?v=2PQ2zcUMCZc,52,https://www.facebook.com/108099227480171/videos/1186249201814339,71,22,127,11/05/21,41,25,9,05:40
Episode 2,Engineerin Deep Dive,56,https://www.youtube.com/watch?v=whF6P2WvmpI,101,https://www.facebook.com/108099227480171/videos/126801472718314,60,18,100,11/05/21,33,21,9,10:33
Episode 3,,74,https://www.youtube.com/watch?v=CoAet15dMMg,309,https://www.facebook.com/108099227480171/videos/832248377691934,65,16,100,11/05/21,33,19,9,07:07
Episode 4,East Asia and Beyond,26,https://www.youtube.com/watch?v=o6We4TYlm5o,188,https://www.facebook.com/108099227480171/videos/223584716192179,48,17,72,11/05/21,14,13,9,13:33
Episode 5,To Law or Not to Law,,https://www.youtube.com/watch?v=WLmpI2aAKtw,,,59,15,75,11/05/21,29,17,8,06:48
Episode 1,Pilot,83,https://www.youtube.com/watch?v=2PQ2zcUMCZc,53,https://www.facebook.com/108099227480171/videos/1186249201814339,74,22,129,12/05/21,41,25,9,05:40
Episode 2,Engineerin Deep Dive,58,https://www.youtube.com/watch?v=whF6P2WvmpI,102,https://www.facebook.com/108099227480171/videos/126801472718314,62,18,101,12/05/21,33,21,9,10:33
Episode 3,,78,https://www.youtube.com/watch?v=CoAet15dMMg,311,https://www.facebook.com/108099227480171/videos/832248377691934,67,16,101,12/05/21,33,19,9,07:07
Episode 4,East Asia and Beyond,27,https://www.youtube.com/watch?v=o6We4TYlm5o,192,https://www.facebook.com/108099227480171/videos/223584716192179,51,17,73,12/05/21,14,13,9,13:33
Episode 5,To Law or Not to Law,16,https://www.youtube.com/watch?v=WLmpI2aAKtw,53,https://www.facebook.com/108099227480171/videos/251925833382086,88,18,99,12/05/21,29,17,8,06:48
Episode 1,Pilot,87,https://www.youtube.com/watch?v=2PQ2zcUMCZc,54,https://www.facebook.com/108099227480171/videos/1186249201814339,74,22,129,14/05/21,41,25,9,05:40
Episode 2,Engineerin Deep Dive,59,https://www.youtube.com/watch?v=whF6P2WvmpI,102,https://www.facebook.com/108099227480171/videos/126801472718314,62,18,101,14/05/21,33,21,9,10:33
Episode 3,,79,https://www.youtube.com/watch?v=CoAet15dMMg,313,https://www.facebook.com/108099227480171/videos/832248377691934,67,16,101,14/05/21,33,19,9,07:07
Episode 4,East Asia and Beyond,28,https://www.youtube.com/watch?v=o6We4TYlm5o,195,https://www.facebook.com/108099227480171/videos/223584716192179,51,17,73,14/05/21,14,13,9,13:33
Episode 5,To Law or Not to Law,19,https://www.youtube.com/watch?v=WLmpI2aAKtw,76,https://www.facebook.com/108099227480171/videos/251925833382086,88,18,99,14/05/21,29,17,8,06:48
Episode 1,Pilot,88,https://www.youtube.com/watch?v=2PQ2zcUMCZc,55,https://www.facebook.com/108099227480171/videos/1186249201814339,79,22,136,17/05/21,41,25,9,05:40
Episode 2,Engineerin Deep Dive,60,https://www.youtube.com/watch?v=whF6P2WvmpI,103,https://www.facebook.com/108099227480171/videos/126801472718314,67,18,108,17/05/21,33,21,9,10:33
Episode 3,,83,https://www.youtube.com/watch?v=CoAet15dMMg,314,https://www.facebook.com/108099227480171/videos/832248377691934,71,16,111,17/05/21,33,19,9,07:07
Episode 4,East Asia and Beyond,31,https://www.youtube.com/watch?v=o6We4TYlm5o,195,https://www.facebook.com/108099227480171/videos/223584716192179,57,17,84,17/05/21,14,13,9,13:33
Episode 5,To Law or Not to Law,22,https://www.youtube.com/watch?v=WLmpI2aAKtw,80,https://www.facebook.com/108099227480171/videos/251925833382086,100,19,120,17/05/21,29,17,8,06:48
