1,Juventus,72,34,21,9,4,17,12,4,1,17,9,5,3,64,29
2,Inter,65,34,19,8,7,17,10,5,2,17,9,3,5,64,38
3,Milan,61,34,18,7,9,17,12,4,1,17,6,3,8,55,30
4,Lazio,60,34,15,15,4,17,7,8,2,17,8,7,2,57,32
5,Parma,56,34,15,11,8,17,11,2,4,17,4,9,4,55,36
6,Udinese,56,34,16,8,10,17,11,5,1,17,5,3,9,38,35
7,Chievoverona,55,34,16,7,11,17,11,3,3,17,5,4,8,51,39
8,Roma,49,34,13,10,11,17,9,5,3,17,4,5,8,55,46
9,Brescia,42,34,9,15,10,17,6,7,4,17,3,8,6,36,38
10,Perugia,42,34,10,12,12,17,9,4,4,17,1,8,8,40,48
11,Bologna,41,34,10,11,13,17,9,3,5,17,1,8,8,39,47
12,Modena,38,34,9,11,14,17,6,6,5,17,3,5,9,30,48
13,Empoli,38,34,9,11,14,17,4,8,5,17,5,3,9,36,46
14,Reggina,38,34,10,8,16,17,8,5,4,17,2,3,12,38,53
15,Atalanta,38,34,8,14,12,17,5,8,4,17,3,6,8,35,47
16,Piacenza,30,34,8,6,20,17,6,4,7,17,2,2,13,44,62
17,Como,24,34,4,12,18,17,3,7,7,17,1,5,11,29,57
18,Torino,21,34,4,9,21,17,4,4,9,17,0,5,12,23,58
