Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Test Number
13,60,27,1,0,48.14,3,caught,1,v West Indies,Colombo (PSS),22-Oct-15,Test # 2182
39,91,66,7,0,59.09,3,caught,3,v West Indies,Colombo (PSS),22-Oct-15,Test # 2182
8,37,19,1,0,42.1,2,caught,2,v New Zealand,Dunedin,10-Dec-15,Test # 2192
46,209,150,5,0,30.66,2,caught,4,v New Zealand,Dunedin,10-Dec-15,Test # 2192
31,67,42,4,0,73.8,2,caught,1,v New Zealand,Hamilton,18-Dec-15,Test # 2194
46,145,90,8,0,51.11,2,caught,3,v New Zealand,Hamilton,18-Dec-15,Test # 2194
0,9,2,0,0,0,3,caught,2,v England,Leeds,19-May-16,Test # 2203
53,107,68,8,0,77.94,3,bowled,3,v England,Leeds,19-May-16,Test # 2203
35,89,62,3,0,56.45,3,caught,2,v England,Chester-le-Street,27-May-16,Test # 2204
26,28,22,4,0,118.18,3,caught,3,v England,Chester-le-Street,27-May-16,Test # 2204
25,83,55,3,0,45.45,3,lbw,2,v England,Lord's,09-Jun-16,Test # 2205
17,37,30,2,1,56.66,3,not out,4,v England,Lord's,09-Jun-16,Test # 2205
8,10,7,2,0,114.28,3,lbw,1,v Australia,Pallekele,26-Jul-16,Test # 2209
176,319,254,21,1,69.29,4,caught,3,v Australia,Pallekele,26-Jul-16,Test # 2209
86,177,137,10,2,62.77,4,caught,1,v Australia,Galle,04-Aug-16,Test # 2213
7,16,14,1,0,50,4,caught,3,v Australia,Galle,04-Aug-16,Test # 2213
1,26,12,0,0,8.33,4,caught,1,v Australia,Colombo (SSC),13-Aug-16,Test # 2217
18,26,14,1,2,128.57,5,lbw,3,v Australia,Colombo (SSC),13-Aug-16,Test # 2217
34,65,50,5,1,68,4,caught,1,v Zimbabwe,Harare,29-Oct-16,Test # 2228
19,37,29,3,0,65.51,4,caught,3,v Zimbabwe,Harare,29-Oct-16,Test # 2228
26,51,39,5,0,66.66,4,caught,1,v Zimbabwe,Harare,06-Nov-16,Test # 2231
0,17,10,0,0,0,3,caught,3,v Zimbabwe,Harare,06-Nov-16,Test # 2231
0,8,9,0,0,0,4,caught,2,v South Africa,Port Elizabeth,26-Dec-16,Test # 2243
58,129,90,9,0,64.44,4,caught,4,v South Africa,Port Elizabeth,26-Dec-16,Test # 2243
11,37,30,1,1,36.66,3,caught,2,v South Africa,Cape Town,02-Jan-17,Test # 2244
4,20,12,1,0,33.33,3,caught,4,v South Africa,Cape Town,02-Jan-17,Test # 2244
41,86,58,6,1,70.68,3,caught,2,v South Africa,Johannesburg,12-Jan-17,Test # 2247
24,50,50,5,0,48,3,bowled,3,v South Africa,Johannesburg,12-Jan-17,Test # 2247
194,441,285,19,4,68.07,3,caught,1,v Bangladesh,Galle,07-Mar-17,Test # 2252
19,82,49,0,1,38.77,3,caught,3,v Bangladesh,Galle,07-Mar-17,Test # 2252
5,18,6,1,0,83.33,3,stumped,1,v Bangladesh,Colombo (PSS),15-Mar-17,Test # 2254
36,127,91,2,0,39.56,3,caught,3,v Bangladesh,Colombo (PSS),15-Mar-17,Test # 2254
11,26,15,1,0,73.33,3,caught,2,v Zimbabwe,Colombo (RPS),14-Jul-17,Test # 2263
66,141,101,6,0,65.34,3,caught,4,v Zimbabwe,Colombo (RPS),14-Jul-17,Test # 2263
0,3,4,0,0,0,4,caught,2,v India,Galle,26-Jul-17,Test # 2265
36,92,71,3,0,50.7,4,caught,4,v India,Galle,26-Jul-17,Test # 2265
24,85,64,4,0,37.5,3,caught,2,v India,Colombo (SSC),03-Aug-17,Test # 2267
110,212,135,17,0,81.48,3,caught,3,v India,Colombo (SSC),03-Aug-17,Test # 2267
18,35,19,4,0,94.73,3,run out,2,v India,Pallekele,12-Aug-17,Test # 2269
12,31,21,2,0,57.14,4,lbw,3,v India,Pallekele,12-Aug-17,Test # 2269
10,37,25,0,0,40,4,caught,1,v Pakistan,Abu Dhabi,28-Sep-17,Test # 2275
18,95,72,1,0,25,4,lbw,3,v Pakistan,Abu Dhabi,28-Sep-17,Test # 2275
1,7,4,0,0,25,4,caught,1,v Pakistan,Dubai (DSC),06-Oct-17,Test # 2278
29,93,49,4,0,59.18,4,caught,3,v Pakistan,Dubai (DSC),06-Oct-17,Test # 2278
196,-,327,22,2,59.93,2,caught,2,v Bangladesh,Chattogram,31-Jan-18,Test # 2295
68,-,98,10,1,69.38,1,bowled,1,v Bangladesh,Dhaka,08-Feb-18,Test # 2296
7,-,21,0,0,33.33,2,lbw,3,v Bangladesh,Dhaka,08-Feb-18,Test # 2296
4,24,11,1,0,36.36,1,caught,2,v West Indies,Port of Spain,06-Jun-18,Test # 2306
102,268,210,10,2,48.57,1,caught,4,v West Indies,Port of Spain,06-Jun-18,Test # 2306
45,-,83,8,0,54.21,4,caught,1,v West Indies,Gros Islet,14-Jun-18,Test # 2308
87,-,117,8,2,74.35,5,bowled,3,v West Indies,Gros Islet,14-Jun-18,Test # 2308
22,-,59,4,0,37.28,4,bowled,2,v West Indies,Bridgetown,23-Jun-18,Test # 2309
25,-,44,4,0,56.81,4,lbw,4,v West Indies,Bridgetown,23-Jun-18,Test # 2309
24,47,36,3,0,66.66,4,caught,1,v South Africa,Galle,12-Jul-18,Test # 2311
0,5,3,0,0,0,4,lbw,3,v South Africa,Galle,12-Jul-18,Test # 2311
21,51,34,4,0,61.76,4,caught,1,v South Africa,Colombo (SSC),20-Jul-18,Test # 2313
18,36,27,3,0,66.66,4,run out,3,v South Africa,Colombo (SSC),20-Jul-18,Test # 2313
19,-,32,4,0,59.37,4,caught,2,v England,Galle,06-Nov-18,Test # 2324
45,-,77,6,1,58.44,4,caught,4,v England,Galle,06-Nov-18,Test # 2324
1,-,3,0,0,33.33,5,caught,2,v England,Pallekele,14-Nov-18,Test # 2326
1,-,7,0,0,14.28,4,lbw,4,v England,Pallekele,14-Nov-18,Test # 2326
27,-,36,4,0,75,4,caught,2,v England,Colombo (SSC),23-Nov-18,Test # 2329
86,-,129,8,1,66.66,4,run out,4,v England,Colombo (SSC),23-Nov-18,Test # 2329
2,4,4,0,0,50,4,caught,1,v New Zealand,Wellington,15-Dec-18,Test # 2335
141,455,335,16,0,42.08,4,not out,3,v New Zealand,Wellington,15-Dec-18,Test # 2335
15,46,32,1,0,46.87,4,caught,2,v New Zealand,Christchurch,26-Dec-18,Test # 2336
67,225,147,10,0,45.57,4,caught,4,v New Zealand,Christchurch,26-Dec-18,Test # 2336
14,62,44,1,0,31.81,4,bowled,1,v Australia,Brisbane,24-Jan-19,Test # 2343
1,9,7,0,0,14.28,4,caught,3,v Australia,Brisbane,24-Jan-19,Test # 2343
6,12,4,1,0,150,4,bowled,2,v Australia,Canberra,01-Feb-19,Test # 2345
42,102,69,3,1,60.86,5,caught,4,v Australia,Canberra,01-Feb-19,Test # 2345
12,43,24,3,0,50,4,caught,2,v South Africa,Durban,13-Feb-19,Test # 2347
0,11,8,0,0,0,4,caught,4,v South Africa,Durban,13-Feb-19,Test # 2347
16,22,15,3,0,106.66,4,caught,2,v South Africa,Port Elizabeth,21-Feb-19,Test # 2348
84,148,110,13,0,76.36,4,not out,4,v South Africa,Port Elizabeth,21-Feb-19,Test # 2348
53,141,89,7,1,59.55,3,caught,2,v New Zealand,Galle,14-Aug-19,Test # 2354
10,9,6,1,1,166.66,3,caught,4,v New Zealand,Galle,14-Aug-19,Test # 2354
32,74,70,4,0,45.71,3,caught,1,v New Zealand,Colombo (PSS),22-Aug-19,Test # 2356
20,94,63,3,0,31.74,3,bowled,3,v New Zealand,Colombo (PSS),22-Aug-19,Test # 2356
10,61,47,1,0,21.27,3,caught,1,v Pakistan,Rawalpindi,11-Dec-19,Test # 2373
13,51,27,1,0,48.14,3,caught,2,v Pakistan,Karachi,19-Dec-19,Test # 2375
0,6,4,0,0,0,3,caught,4,v Pakistan,Karachi,19-Dec-19,Test # 2375
80,-,163,8,0,49.07,3,caught,2,v Zimbabwe,Harare,19-Jan-20,Test # 2381
22,111,73,1,1,30.13,3,caught,2,v Zimbabwe,Harare,27-Jan-20,Test # 2383
116,291,233,13,1,49.78,3,not out,4,v Zimbabwe,Harare,27-Jan-20,Test # 2383
12,28,16,2,0,75,3,caught,1,v South Africa,Centurion,26-Dec-20,Test # 2399
0,9,5,0,0,0,3,caught,3,v South Africa,Centurion,26-Dec-20,Test # 2399
0,4,4,0,0,0,4,caught,1,v South Africa,Johannesburg,03-Jan-21,Test # 2401
0,9,1,0,0,0,4,caught,3,v South Africa,Johannesburg,03-Jan-21,Test # 2401
