Batsman,Result,TeamState,n,Reviews
A Lyth,Struck down,Batting,1,1
A Lyth,Struck down,Bowling,1,1
A Mukund,Struck down,Batting,1,1
A Nortje,Struck down,Batting,1,3
A Nortje,Upheld,Batting,2,3
A Nortje,Upheld,Bowling,1,1
AB Barath,Struck down,Batting,3,3
AB Barath,Struck down,Bowling,2,2
AB de Villiers,Struck down,Batting,6,10
AB de Villiers,Struck down,Bowling,16,17
AB de Villiers,Upheld,Batting,4,10
AB de Villiers,Upheld,Bowling,1,17
AB Fudadin,Upheld,Bowling,1,1
Abdur Rehman,Struck down,Batting,1,1
Abdur Rehman,Struck down,Bowling,1,1
Abid Ali,Struck down,Batting,2,3
Abid Ali,Struck down,Bowling,1,1
Abid Ali,Umpire's call,Batting,1,3
Abu Jayed,Struck down,Bowling,2,2
AC Agar,Upheld,Bowling,1,1
AC Voges,Struck down,Batting,2,5
AC Voges,Struck down,Bowling,6,6
AC Voges,Upheld,Batting,3,5
AD Hales,Struck down,Batting,3,3
AD Hales,Struck down,Bowling,2,2
AD Mathews,Struck down,Batting,9,12
AD Mathews,Struck down,Bowling,14,18
AD Mathews,Umpire's call,Batting,2,12
AD Mathews,Umpire's call,Bowling,2,18
AD Mathews,Upheld,Batting,1,12
AD Mathews,Upheld,Bowling,2,18
Adnan Akmal,Struck down,Batting,2,3
Adnan Akmal,Upheld,Batting,1,3
AG Cremer,Struck down,Batting,1,2
AG Cremer,Struck down,Bowling,1,1
AG Cremer,Upheld,Batting,1,2
AG Prince,Struck down,Bowling,1,1
Ahmed Shehzad,Struck down,Batting,3,4
Ahmed Shehzad,Struck down,Bowling,3,3
Ahmed Shehzad,Upheld,Batting,1,4
AJ Doolan,Struck down,Bowling,1,1
AJ Finch,Struck down,Batting,1,1
AJ Finch,Struck down,Bowling,1,1
AJ Strauss,Struck down,Batting,4,4
AJ Strauss,Struck down,Bowling,2,5
AJ Strauss,Upheld,Bowling,3,5
AK Markram,Struck down,Batting,2,3
AK Markram,Struck down,Bowling,7,7
AK Markram,Umpire's call,Batting,1,3
AL Phehlukwayo,Struck down,Batting,1,1
AM Rahane,Struck down,Batting,5,12
AM Rahane,Struck down,Bowling,7,10
AM Rahane,Umpire's call,Batting,2,12
AM Rahane,Umpire's call,Bowling,1,10
AM Rahane,Upheld,Batting,5,12
AM Rahane,Upheld,Bowling,2,10
AN Cook,Struck down,Batting,7,13
AN Cook,Struck down,Bowling,24,33
AN Cook,Umpire's call,Bowling,1,33
AN Cook,Upheld,Batting,6,13
AN Cook,Upheld,Bowling,8,33
AN Petersen,Struck down,Batting,4,7
AN Petersen,Struck down,Bowling,7,9
AN Petersen,Upheld,Batting,3,7
AN Petersen,Upheld,Bowling,2,9
ARS Silva,Struck down,Batting,1,1
ARS Silva,Struck down,Bowling,2,4
ARS Silva,Upheld,Bowling,2,4
AS Joseph,Struck down,Bowling,1,1
AS Joseph,Upheld,Batting,1,1
Asad Shafiq,Struck down,Batting,12,16
Asad Shafiq,Struck down,Bowling,17,24
Asad Shafiq,Umpire's call,Batting,1,16
Asad Shafiq,Upheld,Batting,3,16
Asad Shafiq,Upheld,Bowling,7,24
Asghar Afghan,Upheld,Batting,1,1
AU Rashid,Struck down,Batting,2,4
AU Rashid,Struck down,Bowling,3,7
AU Rashid,Umpire's call,Batting,1,4
AU Rashid,Umpire's call,Bowling,1,7
AU Rashid,Upheld,Batting,1,4
AU Rashid,Upheld,Bowling,3,7
AY Patel,Struck down,Batting,2,3
AY Patel,Struck down,Bowling,2,2
AY Patel,Umpire's call,Batting,1,3
Azhar Ali,Struck down,Batting,7,17
Azhar Ali,Struck down,Bowling,25,31
Azhar Ali,Umpire's call,Batting,3,17
Azhar Ali,Umpire's call,Bowling,1,31
Azhar Ali,Upheld,Batting,7,17
Azhar Ali,Upheld,Bowling,5,31
B Chari,Upheld,Bowling,1,1
B Kumar,Struck down,Bowling,1,1
BA Stokes,Struck down,Batting,4,7
BA Stokes,Struck down,Bowling,18,31
BA Stokes,Umpire's call,Batting,1,7
