id,Geographic Area Name,Total,Total!!Male,Total!!Male!!Under 5 years,Total!!Male!!5 to 9 years,Total!!Male!!10 to 14 years,Total!!Male!!15 to 17 years,Total!!Male!!18 and 19 years,Total!!Male!!20 years,Total!!Male!!21 years,Total!!Male!!22 to 24 years,Total!!Male!!25 to 29 years,Total!!Male!!30 to 34 years,Total!!Male!!35 to 39 years,Total!!Male!!40 to 44 years,Total!!Male!!45 to 49 years,Total!!Male!!50 to 54 years,Total!!Male!!55 to 59 years,Total!!Male!!60 and 61 years,Total!!Male!!62 to 64 years,Total!!Male!!65 and 66 years,Total!!Male!!67 to 69 years,Total!!Male!!70 to 74 years,Total!!Male!!75 to 79 years,Total!!Male!!80 to 84 years,Total!!Male!!85 years and over,Total!!Female,Total!!Female!!Under 5 years,Total!!Female!!5 to 9 years,Total!!Female!!10 to 14 years,Total!!Female!!15 to 17 years,Total!!Female!!18 and 19 years,Total!!Female!!20 years,Total!!Female!!21 years,Total!!Female!!22 to 24 years,Total!!Female!!25 to 29 years,Total!!Female!!30 to 34 years,Total!!Female!!35 to 39 years,Total!!Female!!40 to 44 years,Total!!Female!!45 to 49 years,Total!!Female!!50 to 54 years,Total!!Female!!55 to 59 years,Total!!Female!!60 and 61 years,Total!!Female!!62 to 64 years,Total!!Female!!65 and 66 years,Total!!Female!!67 to 69 years,Total!!Female!!70 to 74 years,Total!!Female!!75 to 79 years,Total!!Female!!80 to 84 years,Total!!Female!!85 years and over
5001300US1201,"Congressional District 1 (113th Congress), Florida",696345,348383,22162,21166,21547,14371,12195,5837,5400,16874,25676,21425,20900,22030,27239,26221,21864,8031,11624,6539,8412,11427,8561,5245,3637,347962,21470,20493,20458,12982,10099,5021,4851,14471,22743,19950,20226,22003,26882,26881,23551,8808,12245,7130,9607,13279,10313,7626,6873
5001300US1202,"Congressional District 2 (113th Congress), Florida",696345,351514,20584,19986,20206,12663,13446,7625,7830,20775,28312,23531,22854,23406,25562,24678,21928,8197,11223,6150,7754,9797,6914,4745,3348,344831,19760,19355,18995,12126,15252,8253,8141,18245,23744,20044,20173,20419,23991,24831,22843,8348,11458,6555,8554,11348,8705,6943,6748
5001300US1203,"Congressional District 3 (113th Congress), Florida",696345,349918,19948,20280,21086,13578,13373,7759,7719,18702,24972,21034,20924,21718,24797,24042,22079,8356,12235,7161,9436,12046,8738,5811,4124,346427,19083,19361,19947,12870,13546,7843,7234,16472,21531,18540,19561,20823,24207,24766,23196,8892,12931,7424,10120,12971,9879,7666,7564
5001300US1204,"Congressional District 4 (113th Congress), Florida",696345,342469,22479,21560,21632,13209,9461,5064,5196,16509,27593,24177,24139,24088,26366,24947,21719,7770,11029,5618,7179,8747,6255,4396,3336,353876,21328,20705,21425,12510,9114,4596,4730,15279,26891,23797,23568,24285,27252,26654,23853,8766,11941,6315,8288,10293,8092,6822,7372
5001300US1205,"Congressional District 5 (113th Congress), Florida",696345,336658,27417,24841,24444,15506,11119,5733,5476,15842,25737,22986,21782,22053,23985,23179,19544,6741,9009,4884,6347,8023,5659,3689,2662,359687,26286,24100,23536,15066,11050,5768,5464,16704,27269,24499,23589,22856,25523,25008,21728,7558,10268,5788,7631,10253,7911,6119,5713
5001300US1206,"Congressional District 6 (113th Congress), Florida",696345,340377,17342,18712,20234,13029,9721,4729,4387,11754,17353,16717,18717,21176,24910,25528,24222,9940,15016,8763,12459,16640,12811,9292,6925,355968,16944,17876,19263,12060,8714,4202,4053,10872,17138,16643,19117,21611,26450,27612,26836,11008,16220,9417,13538,17895,14624,12075,11800
5001300US1207,"Congressional District 7 (113th Congress), Florida",696345,340576,19009,20629,22912,14888,13540,7620,7275,16754,23549,21116,21606,23579,26564,25043,20671,7436,10476,5527,7127,8839,6994,5132,4290,355769,18128,19928,21679,14159,13003,7016,6435,14891,22934,21511,22540,24831,28051,26958,23351,8475,11542,6167,8271,10692,9177,7573,8457
5001300US1208,"Congressional District 8 (113th Congress), Florida",696344,340611,17621,18706,20339,13791,9416,4266,3817,11167,18119,16458,17651,20735,26984,27692,23830,8884,13350,7947,11470,16481,14040,10144,7703,355733,16574,17842,19397,12962,7509,3428,3325,10165,17680,16612,18485,21826,28497,29113,25416,9911,14954,8809,13285,18779,16022,12969,12173
5001300US1209,"Congressional District 9 (113th Congress), Florida",696345,342381,24010,24702,25898,16376,10791,5538,5495,16793,26542,24844,24893,25128,25453,21454,17412,6335,8848,4943,6498,8572,5855,3708,2293,353964,22712,23617,24968,15417,9879,5260,5308,15876,25739,25654,26546,26004,26219,23457,19969,7296,10394,5733,7716,9656,7091,4981,4472
5001300US1210,"Congressional District 10 (113th Congress), Florida",696345,340375,20400,21206,21922,13567,8616,4202,4058,12680,22584,21564,23076,24398,26044,23811,20291,7579,11537,6873,9812,13800,10445,6936,4974,355970,19662,20536,21079,12940,8765,4638,4398,13670,23308,21644,23445,23855,25681,24214,22312,8786,13095,7735,11088,15083,11831,9192,9013
5001300US1211,"Congressional District 11 (113th Congress), Florida",696345,337710,16025,16571,17932,11629,7150,3285,3128,8990,15328,15242,16979,18563,21663,21344,20905,9568,16813,11151,18007,25772,19787,13253,8625,358635,15590,16252,17133,10981,6684,3198,2913,8745,15133,14733,16773,18957,22304,24368,25421,12066,19831,13138,19798,26847,20263,14782,12725
5001300US1212,"Congressional District 12 (113th Congress), Florida",696344,336687,18746,20808,22337,13893,7920,3492,3412,9485,16769,17906,21459,23886,26852,24987,21915,8692,13185,7571,10980,14830,11825,8885,6852,359657,17767,20033,21476,13226,7489,3493,3293,9669,17709,19032,22757,24986,27881,27130,24769,9883,14884,8617,12242,16569,13912,11357,11483
5001300US1213,"Congressional District 13 (113th Congress), Florida",696345,335094,16057,16159,17273,11164,7297,3564,3483,10684,19738,18483,19797,22294,26841,27211,24783,9779,14569,8072,11195,15434,12623,10006,8588,361251,15496,15431,16227,10372,6880,3457,3446,10848,19943,18743,19550,22235,27631,28948,27557,10518,15999,9226,13208,18027,16004,14603,16902
5001300US1214,"Congressional District 14 (113th Congress), Florida",696345,339989,24291,21760,22380,14206,10182,5143,4986,15278,27893,25742,24621,24572,25694,23648,19787,7001,9331,5126,6478,8210,6160,4256,3244,356356,22962,20778,20932,13327,10252,5767,5530,16676,29150,25750,24609,24101,26252,24598,21363,7837,10289,5705,7547,10417,8317,6947,7250
5001300US1215,"Congressional District 15 (113th Congress), Florida",696345,338189,22674,23361,24450,15409,11315,5673,5218,15024,22135,20405,21686,22746,25055,23799,20167,7623,10702,5989,7787,10315,7552,5314,3790,358156,21672,22366,23614,14429,11648,6073,5756,15479,23173,21668,22956,23838,26228,25206,22661,8293,11829,6792,8834,11962,9310,7412,6957
5001300US1216,"Congressional District 16 (113th Congress), Florida",696345,334048,16520,17165,18295,11511,7050,3390,3049,9288,16141,15739,16952,19125,22197,23026,22255,9242,15457,9803,14680,20972,17703,13666,10822,362297,16046,16468,17605,10931,6568,3110,2926,9156,15949,15395,17785,20124,23809,25504,26452,11173,18124,11429,16819,23243,19678,16895,17108
5001300US1217,"Congressional District 17 (113th Congress), Florida",696344,348559,19635,20145,20889,13583,8931,4046,3832,11428,18740,18196,19122,20903,22775,22264,20806,8645,14006,9319,14053,20578,16400,11756,8507,347785,18569,19353,19630,12100,7285,3252,3000,9179,16352,16503,18236,19274,22308,22844,22926,9973,15996,10264,15476,21758,17188,13665,12654
5001300US1218,"Congressional District 18 (113th Congress), Florida",696344,340419,17822,19280,21020,13271,7988,3601,3356,10738,18345,17686,19334,22083,25747,25555,22408,8673,13446,7933,12004,16979,14044,10848,8258,355925,17159,18324,20265,12420,7181,3283,3133,9813,17364,17466,19934,22963,26941,27015,24763,9664,15228,9178,13741,18718,15924,13072,12376
