"Label","Total races tallied:","Total races tallied:!!White alone or in combination with one or more other races","Total races tallied:!!Black or African American alone or in combination with one or more other races","Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied:!!Asian alone or in combination with one or more other races","Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied:!!Some Other Race alone or in combination with one or more other races"
"ZCTA5 06390","","","","","","",""
"    ZCTA5 06390","240","231","2","1","2","0","4"
"ZCTA5 12834","","","","","","",""
"    ZCTA5 12834","6,673","6,467","73","43","57","5","28"
"ZCTA5 12835","","","","","","",""
"    ZCTA5 12835","2,626","2,540","35","24","7","1","19"
"ZCTA5 12839","","","","","","",""
"    ZCTA5 12839","13,800","13,317","221","90","88","13","71"
"ZCTA5 12843","","","","","","",""
"    ZCTA5 12843","609","595","6","4","2","1","1"
"ZCTA5 12844","","","","","","",""
"    ZCTA5 12844","202","196","0","2","3","0","1"
"ZCTA5 12845","","","","","","",""
"    ZCTA5 12845","4,892","4,710","75","55","32","0","20"
"ZCTA5 12846","","","","","","",""
"    ZCTA5 12846","3,343","3,253","20","29","28","2","11"
"ZCTA5 12850","","","","","","",""
"    ZCTA5 12850","2,897","2,798","35","31","17","3","13"
"ZCTA5 12851","","","","","","",""
"    ZCTA5 12851","375","361","1","7","4","0","2"
"ZCTA5 12853","","","","","","",""
"    ZCTA5 12853","1,784","1,744","8","12","10","0","10"
"ZCTA5 12857","","","","","","",""
"    ZCTA5 12857","506","489","1","9","7","0","0"
"ZCTA5 12859","","","","","","",""
"    ZCTA5 12859","2,251","2,197","27","4","16","4","3"
"ZCTA5 12865","","","","","","",""
"    ZCTA5 12865","3,708","3,585","60","22","19","4","18"
"ZCTA5 12866","","","","","","",""
"    ZCTA5 12866","37,728","35,172","1,179","271","804","24","278"
"ZCTA5 12871","","","","","","",""
"    ZCTA5 12871","4,119","3,972","46","25","21","5","50"
"ZCTA5 12873","","","","","","",""
"    ZCTA5 12873","748","720","6","13","2","0","7"
"ZCTA5 12883","","","","","","",""
"    ZCTA5 12883","5,085","4,929","29","57","53","0","17"
