Zip|IncomeRange|NumberOfReturns
11355|$1 under $25,000|34000
11220|$1 under $25,000|33250
99999|$1 under $25,000|26980
11373|$1 under $25,000|25150
11368|$1 under $25,000|24740
10456|$1 under $25,000|21730
11208|$1 under $25,000|20820
10453|$1 under $25,000|20630
10467|$1 under $25,000|20020
11226|$1 under $25,000|19980
11207|$1 under $25,000|19460
11377|$1 under $25,000|19270
99999|$25,000 under $50,000|19070
10452|$1 under $25,000|19020
10002|$1 under $25,000|18770
11219|$1 under $25,000|18410
11214|$1 under $25,000|18260
10457|$1 under $25,000|18060
10468|$1 under $25,000|18050
11354|$1 under $25,000|17990
10458|$1 under $25,000|17780
11212|$1 under $25,000|17740
11385|$1 under $25,000|17640
11226|$25,000 under $50,000|16770
11236|$1 under $25,000|16740
11235|$1 under $25,000|15900
11206|$1 under $25,000|15510
11221|$1 under $25,000|15390
11204|$1 under $25,000|15180
10029|$1 under $25,000|14870
10462|$1 under $25,000|14740
11236|$25,000 under $50,000|14660
10472|$1 under $25,000|14530
11372|$1 under $25,000|14450
11223|$1 under $25,000|14360
11208|$25,000 under $50,000|14270
11207|$25,000 under $50,000|14130
11368|$25,000 under $50,000|14090
10467|$25,000 under $50,000|14050
11230|$1 under $25,000|14000
11229|$1 under $25,000|13980
11203|$1 under $25,000|13720
11385|$25,000 under $50,000|13530
11373|$25,000 under $50,000|13460
10460|$1 under $25,000|13290
10466|$1 under $25,000|13070
11221|$25,000 under $50,000|13050
10456|$25,000 under $50,000|12910
11233|$1 under $25,000|12840
11717|$1 under $25,000|12840
11234|$1 under $25,000|12820
11550|$1 under $25,000|12620
11212|$25,000 under $50,000|12500
10032|$1 under $25,000|12440
99999|$100,000 under $200,000|12370
11220|$25,000 under $50,000|12130
10469|$1 under $25,000|12120
10031|$1 under $25,000|11980
99999|$50,000 under $75,000|11950
10314|$1 under $25,000|11910
11203|$25,000 under $50,000|11860
11218|$1 under $25,000|11860
11432|$1 under $25,000|11780
10453|$25,000 under $50,000|11750
11213|$1 under $25,000|11730
11377|$25,000 under $50,000|11730
10473|$1 under $25,000|11620
10452|$25,000 under $50,000|11600
10025|$1 under $25,000|11590
10462|$25,000 under $50,000|11570
11434|$1 under $25,000|11520
10701|$1 under $25,000|11500
10463|$1 under $25,000|11350
11717|$25,000 under $50,000|11340
10033|$1 under $25,000|11310
11206|$25,000 under $50,000|11190
10468|$25,000 under $50,000|11170
11706|$1 under $25,000|11030
10023|$200,000 or more|10990
10451|$1 under $25,000|10990
11419|$1 under $25,000|10960
